Country,Year,Income,Terrorist,Net_Mig,Score_change,Region,Score_change_rank,HDI
Afghanistan,2016,1,1616,5.23999999999999,-1.30000000000001,South Asia,3,0.5
Albania,2016,3,2,0.589999999999998,-4.19,Europe & Central Asia,2,0.788
Algeria,2016,3,9,-12.26,-6.95,Middle East & North Africa,2,0.74
Angola,2016,2,2,13.9,-60.08,Sub-Saharan Africa ,1,0.572
Argentina,2016,4,2,2.14,2.34,Latin America & Caribbean ,3,0.84
Armenia,2016,3,2,-18.02,-0.650000000000006,Europe & Central Asia,3,0.768
Australia,2016,4,9,39.64,15.92,East Asia & Pacific,4,0.938
Austria,2016,4,3,26.31,1.65000000000001,Europe & Central Asia,3,0.915
Azerbaijan,2016,3,2,-16.49,-16.53,Europe & Central Asia,1,0.744
Bahrain,2016,4,3,24.43,-22.51,Middle East & North Africa,1,0.848
Bangladesh,2016,2,89,-6.59,-8.75,South Asia,2,0.595
Belgium,2016,4,6,5.79,0.180000000000002,Europe & Central Asia,3,0.922
Benin,2016,1,0,-17.65,-9.64,Sub-Saharan Africa ,1,0.532
Bolivia,2016,2,0,2.6,-3.08,Latin America & Caribbean ,2,0.697
Bosnia and Herzegovina,2016,3,0,-22.34,-7.89,Europe & Central Asia,2,0.761
Brazil,2016,3,2,-4.41,-4.59,Latin America & Caribbean ,2,0.756
Bulgaria,2016,3,1,-23.9,1.91999999999999,Europe & Central Asia,3,0.809
Burkina Faso,2016,1,10,1.87,-13.28,Sub-Saharan Africa ,1,0.422
Cambodia,2016,2,0,22.51,-16.79,East Asia & Pacific,1,0.57
Cameroon,2016,2,58,-10.41,-11.24,Sub-Saharan Africa ,1,0.549
Canada,2016,4,6,27.75,7.48,North America,4,0.921
Chile,2016,4,18,19.28,1.09,Latin America & Caribbean ,3,0.842
China,2016,3,5,-3.98,-0.219999999999999,East Asia & Pacific,3,0.739
Colombia,2016,3,110,-1.39,-10.03,Latin America & Caribbean ,1,0.756
Congo. Dem. Rep.,2016,1,169,66.8,-27.73,Sub-Saharan Africa ,1,0.464
Costa Rica,2016,3,0,8.47,-3.81,Latin America & Caribbean ,2,0.797
Cote d'Ivoire,2016,2,1,-1.81,-5.32,Sub-Saharan Africa ,2,0.503
Cyprus,2016,4,2,46.33,14.98,Europe & Central Asia,4,0.865
Czech Republic,2016,4,2,14.76,9.13,Europe & Central Asia,4,0.891
Denmark,2016,4,1,14.53,0.379999999999994,Europe & Central Asia,3,0.933
Dominican Republic,2016,3,0,-0.94,-5.44,Latin America & Caribbean ,2,0.738
Ecuador,2016,3,6,11.31,-7.59,Latin America & Caribbean ,2,0.764
Egypt. Arab Rep.,2016,2,376,-38.47,-7.72,Middle East & North Africa,2,0.691
Estonia,2016,4,0,23.09,7.15,Europe & Central Asia,4,0.877
Ethiopia,2016,1,13,17.17,-8.17,Sub-Saharan Africa ,2,0.462
Finland,2016,4,3,-21.51,-17.95,Europe & Central Asia,1,0.93
France,2016,4,25,-6.74,7.94000000000001,Europe & Central Asia,4,0.895
Gabon,2016,3,0,21.71,-41.51,Sub-Saharan Africa ,1,0.685
Georgia,2016,2,4,12.06,-13.47,Europe & Central Asia,1,0.79
Germany,2016,4,45,48.97,6.81999999999999,Europe & Central Asia,4,0.938
Ghana,2016,2,1,14.09,-6.97,Sub-Saharan Africa ,2,0.59
Greece,2016,4,30,-38.03,-8.72,Europe & Central Asia,2,0.877
Guatemala,2016,3,0,-1.23,1.92,Latin America & Caribbean ,3,0.652
Haiti,2016,1,1,-7.46,-18.97,Latin America & Caribbean ,1,0.496
Honduras,2016,2,1,5.3,-15.98,Latin America & Caribbean ,1,0.618
Hungary,2016,4,1,-19.05,8.56,Europe & Central Asia,4,0.842
India,2016,2,1026,-26.27,-4.29,South Asia,2,0.624
Indonesia,2016,2,19,8.57,-10.82,East Asia & Pacific,1,0.695
Iran. Islamic Rep.,2016,3,10,-4.87000000000001,-30.3,Middle East & North Africa,1,0.774
Iraq,2016,3,3395,-13.49,-34.37,Middle East & North Africa,1,0.649
Ireland,2016,4,15,23.1,-16.16,Europe & Central Asia,1,0.935
Israel,2016,4,50,-14.13,-9.96,Middle East & North Africa,1,0.91
Italy,2016,4,11,-10.78,4.08,Europe & Central Asia,3,0.882
Jamaica,2016,3,0,-25.51,-11.01,Latin America & Caribbean ,1,0.731
Japan,2016,4,1,10.92,8.91,East Asia & Pacific,4,0.908
Jordan,2016,3,11,-75.33,-21.94,Middle East & North Africa,1,0.73
Kazakhstan,2016,3,3,-2.98,-11.87,Europe & Central Asia,1,0.806
Kenya,2016,2,65,56.05,6.68000000000001,Sub-Saharan Africa ,4,0.587
Korea. Rep.,2016,4,1,-7.41,4.55,East Asia & Pacific,4,0.907
Kuwait,2016,4,2,50.95,5.67999999999999,Middle East & North Africa,4,0.801
Latvia,2016,4,0,-1.62,-2.16,Europe & Central Asia,2,0.849
Lebanon,2016,3,41,-41.25,4.40000000000001,Middle East & North Africa,4,0.744
Libya,2016,3,422,-6.92,1.99,Middle East & North Africa,3,0.697
Lithuania,2016,4,0,-6.62,-7.54,Europe & Central Asia,2,0.862
Macedonia. FYR,2016,3,0,-21.45,-6.96,Europe & Central Asia,2,0.761
Madagascar,2016,1,1,3.27,-9.53,Sub-Saharan Africa ,1,0.522
Malawi,2016,1,0,60.85,-8.95,Sub-Saharan Africa ,2,0.468
Malaysia,2016,3,19,-12.71,-10.33,East Asia & Pacific,1,0.796
Mali,2016,1,100,10.78,-18.34,Sub-Saharan Africa ,1,0.417
Malta,2016,4,0,57.31,10.2,Middle East & North Africa,4,0.88
Mexico,2016,3,5,0.45,-2.89,Latin America & Caribbean ,2,0.766
Moldova,2016,2,1,-54.07,-13.44,Europe & Central Asia,1,0.736
Morocco,2016,2,0,-20.4,-15.84,Middle East & North Africa,1,0.658
Mozambique,2016,1,79,21.44,-24.28,Sub-Saharan Africa ,1,0.433
Myanmar,2016,2,74,49.12,-13.94,East Asia & Pacific,1,0.557
Nepal,2016,1,43,-17.32,-12.26,South Asia,1,0.583
Netherlands,2016,4,6,7.97,5.45,Europe & Central Asia,4,0.934
New Zealand,2016,4,1,61.65,20.67,East Asia & Pacific,4,0.921
Nicaragua,2016,2,0,2.11,-8.52,Latin America & Caribbean ,2,0.652
Nigeria,2016,2,535,47.6,-48.04,Sub-Saharan Africa ,1,0.526
Norway,2016,4,0,-38.65,-29.01,Europe & Central Asia,1,0.947
Pakistan,2016,2,864,-37.16,-3.38000000000001,South Asia,2,0.536
Panama,2016,4,1,49.12,-36.29,Latin America & Caribbean ,1,0.799
Papua New Guinea,2016,2,0,44.99,-37.8,East Asia & Pacific,1,0.548
Paraguay,2016,3,15,10.54,-5.48,Latin America & Caribbean ,2,0.721
Peru,2016,3,4,0.28,-7.65,Latin America & Caribbean ,2,0.759
Philippines,2016,2,632,-18.76,0.780000000000008,East Asia & Pacific,3,0.701
Poland,2016,4,2,1.47,6.87,Europe & Central Asia,4,0.863
Qatar,2016,4,0,87.3,-75.16,Middle East & North Africa,1,0.839
Rwanda,2016,1,1,10.94,7.28,Sub-Saharan Africa ,4,0.526
Saudi Arabia,2016,4,134,57.22,-53.2100000000001,Middle East & North Africa,1,0.859
Senegal,2016,1,0,-7.83,-10.99,Sub-Saharan Africa ,1,0.506
Serbia,2016,3,0,-19.76,-1.54,Europe & Central Asia,3,0.789
Slovak Republic,2016,4,1,-38.69,-17.55,Europe & Central Asia,1,0.85
South Africa,2016,3,27,12.19,-15.29,Sub-Saharan Africa ,1,0.701
Spain,2016,4,3,10.93,17.37,Europe & Central Asia,4,0.895
Sri Lanka,2016,2,1,-16.92,-2.51,South Asia,2,0.776
Sudan,2016,2,173,-36.5,-26.99,Sub-Saharan Africa ,1,0.504
Sweden,2016,4,16,24.79,6.67000000000001,Europe & Central Asia,4,0.938
Switzerland,2016,4,2,79.55,-9.13999999999999,Europe & Central Asia,1,0.947
Syrian Arab Republic,2016,1,474,-69.52,-14.75,Middle East & North Africa,1,0.537
Taiwan. China,2016,4,1,-9.81,3.84,East Asia & Pacific,3,0.911
Tanzania,2016,1,3,28.94,-14.78,Sub-Saharan Africa ,1,0.514
Thailand,2016,3,329,1.71,-5.34,East Asia & Pacific,2,0.749
Trinidad and Tobago,2016,4,0,-3.36,-9.54,Latin America & Caribbean ,1,0.792
Tunisia,2016,2,12,-50.66,-16.01,Middle East & North Africa,1,0.729
Turkey,2016,3,544,-11.48,-9.36,Europe & Central Asia,1,0.801
Uganda,2016,1,15,20.34,-3.44,Sub-Saharan Africa ,2,0.525
Ukraine,2016,2,62,-32.69,4.76000000000001,Europe & Central Asia,4,0.765
United Kingdom,2016,4,104,-1.66,-0.56,Europe & Central Asia,3,0.923
United States,2016,4,68,-0.96,7.44999999999999,North America,4,0.921
Uruguay,2016,4,1,11.37,-4.12,Latin America & Caribbean ,2,0.806
Uzbekistan,2016,2,0,-1.65,4.77,Europe & Central Asia,4,0.701
Venezuela. RB,2016,3,6,-104.8,-41.21,Latin America & Caribbean ,1,0.769
Vietnam,2016,2,0,-6.52,-11.27,East Asia & Pacific,1,0.688
West Bank and Gaza,2016,2,157,-5.46,-12.21,Middle East & North Africa,1,0.701
Yemen. Rep.,2016,1,917,-11.99,-1.72,Middle East & North Africa,3,0.483
Zambia,2016,2,0,64.92,-28.85,Sub-Saharan Africa ,1,0.569
Zimbabwe,2016,1,0,38.31,-7.52000000000001,Sub-Saharan Africa ,2,0.553
Afghanistan,2017,1,1415,-34.27,-39.51,South Asia,1,0.506
Albania,2017,3,1,-18.8,-19.39,Europe & Central Asia,1,0.79
Algeria,2017,3,14,-34.1,-21.84,Middle East & North Africa,1,0.745
Angola,2017,2,6,-9.24,-23.14,Sub-Saharan Africa ,1,0.582
Argentina,2017,4,3,8.19,6.05,Latin America & Caribbean ,4,0.843
Armenia,2017,3,0,-30.94,-12.92,Europe & Central Asia,1,0.769
Australia,2017,4,4,45.46,5.82000000000001,East Asia & Pacific,4,0.941
Austria,2017,4,1,22.85,-3.45999999999999,Europe & Central Asia,2,0.919
Azerbaijan,2017,3,2,-21.11,-4.62,Europe & Central Asia,2,0.754
Bahrain,2017,4,21,17.83,-6.59999999999999,Middle East & North Africa,2,0.854
Bangladesh,2017,2,41,-10.3,-3.71,South Asia,2,0.616
Belgium,2017,4,3,6.04,0.249999999999999,Europe & Central Asia,3,0.929
Benin,2017,1,0,-15.16,2.49,Sub-Saharan Africa ,3,0.536
Bolivia,2017,2,0,-2.69,-5.29,Latin America & Caribbean ,2,0.71
Bosnia and Herzegovina,2017,3,0,-31.26,-8.92,Europe & Central Asia,2,0.774
Brazil,2017,3,2,-7.52,-3.11,Latin America & Caribbean ,2,0.761
Bulgaria,2017,3,0,-15.28,8.62,Europe & Central Asia,4,0.811
Burkina Faso,2017,1,32,-8.62,-10.49,Sub-Saharan Africa ,1,0.439
Cambodia,2017,2,0,1.62,-20.89,East Asia & Pacific,1,0.582
Cameroon,2017,2,111,-21.28,-10.87,Sub-Saharan Africa ,1,0.557
Canada,2017,4,16,35.93,8.18,North America,4,0.926
Chile,2017,4,17,28.6,9.32,Latin America & Caribbean ,4,0.847
China,2017,3,6,-2.62,1.36,East Asia & Pacific,3,0.75
Colombia,2017,3,119,-1.5,-0.11,Latin America & Caribbean ,3,0.763
Congo. Dem. Rep.,2017,1,143,17.21,-49.59,Sub-Saharan Africa ,1,0.475
Costa Rica,2017,3,0,3.22,-5.25,Latin America & Caribbean ,2,0.804
Cote d'Ivoire,2017,2,13,-13.48,-11.67,Sub-Saharan Africa ,1,0.525
Cyprus,2017,4,0,50.69,4.35999999999999,Europe & Central Asia,4,0.878
Czech Republic,2017,4,3,17.81,3.05,Europe & Central Asia,3,0.896
Denmark,2017,4,0,14.51,-0.019999999999996,Europe & Central Asia,3,0.936
Dominican Republic,2017,3,1,-6.73,-5.79,Latin America & Caribbean ,2,0.746
Ecuador,2017,3,3,5.66,-5.65,Latin America & Caribbean ,2,0.76
Egypt. Arab Rep.,2017,2,225,-25.95,12.52,Middle East & North Africa,4,0.698
Estonia,2017,4,0,13.76,-9.33,Europe & Central Asia,1,0.885
Ethiopia,2017,1,28,3.6,-13.57,Sub-Saharan Africa ,1,0.474
Finland,2017,4,2,-5.47,16.04,Europe & Central Asia,4,0.935
France,2017,4,42,5.77,12.51,Europe & Central Asia,4,0.897
Gabon,2017,3,4,-9.99,-31.7,Sub-Saharan Africa ,1,0.694
Georgia,2017,2,1,-2.65,-14.71,Europe & Central Asia,1,0.799
Germany,2017,4,27,43.62,-5.34999999999997,Europe & Central Asia,2,0.943
Ghana,2017,2,0,-12.38,-26.47,Sub-Saharan Africa ,1,0.602
Greece,2017,4,44,-36.1,1.93,Europe & Central Asia,3,0.879
Guatemala,2017,3,0,-2.87,-1.64,Latin America & Caribbean ,3,0.655
Haiti,2017,1,0,-16.53,-9.07,Latin America & Caribbean ,2,0.505
Honduras,2017,2,1,-0.72,-6.02,Latin America & Caribbean ,2,0.63
Hungary,2017,4,0,-12.46,6.59,Europe & Central Asia,4,0.846
India,2017,2,967,-23.85,2.42,South Asia,3,0.64
Indonesia,2017,2,27,1.77,-6.8,East Asia & Pacific,2,0.707
Iran. Islamic Rep.,2017,3,11,-10.25,-5.37999999999999,Middle East & North Africa,2,0.787
Iraq,2017,3,2548,-13.52,-0.0300000000000011,Middle East & North Africa,3,0.667
Ireland,2017,4,17,46.81,23.71,Europe & Central Asia,4,0.947
Israel,2017,4,34,-5.75,8.38,Middle East & North Africa,4,0.913
Italy,2017,4,10,-6.66,4.12,Europe & Central Asia,4,0.886
Jamaica,2017,3,2,-28.91,-3.40000000000001,Latin America & Caribbean ,2,0.734
Japan,2017,4,0,7.24,-3.68,East Asia & Pacific,2,0.915
Jordan,2017,3,8,-32.51,42.82,Middle East & North Africa,4,0.726
Kazakhstan,2017,3,0,-13.36,-10.38,Europe & Central Asia,1,0.815
Kenya,2017,2,97,17.17,-38.88,Sub-Saharan Africa ,1,0.595
Korea. Rep.,2017,4,0,-6.28,1.13,East Asia & Pacific,3,0.912
Kuwait,2017,4,0,41.12,-9.82999999999999,Middle East & North Africa,1,0.805
Latvia,2017,4,1,-9.12,-7.5,Europe & Central Asia,2,0.859
Lebanon,2017,3,23,-29.87,11.38,Middle East & North Africa,4,0.748
Libya,2017,3,191,-3.94,2.98,Middle East & North Africa,3,0.714
Lithuania,2017,4,0,-15.27,-8.65,Europe & Central Asia,2,0.873
Macedonia. FYR,2017,3,1,-22.78,-1.33,Europe & Central Asia,3,0.767
Madagascar,2017,1,0,-9.37,-12.64,Sub-Saharan Africa ,1,0.526
Malawi,2017,1,1,15.55,-45.3,Sub-Saharan Africa ,1,0.473
Malaysia,2017,3,4,-10.7,2.01,East Asia & Pacific,3,0.805
Mali,2017,1,142,6.98,-3.8,Sub-Saharan Africa ,2,0.427
Malta,2017,4,3,46.02,-11.29,Middle East & North Africa,1,0.888
Mexico,2017,3,20,-0.77,-1.22,Latin America & Caribbean ,3,0.771
Moldova,2017,2,0,-53.71,0.359999999999992,Europe & Central Asia,3,0.743
Morocco,2017,2,0,-33.2,-12.8,Middle East & North Africa,1,0.673
Mozambique,2017,1,15,1.64,-19.8,Sub-Saharan Africa ,1,0.446
Myanmar,2017,2,116,23.33,-25.79,East Asia & Pacific,1,0.572
Nepal,2017,1,247,-27.52,-10.2,South Asia,1,0.588
Netherlands,2017,4,1,15.13,7.16,Europe & Central Asia,4,0.939
New Zealand,2017,4,0,50.72,-10.93,East Asia & Pacific,1,0.926
Nicaragua,2017,2,0,-0.99,-3.1,Latin America & Caribbean ,2,0.661
Nigeria,2017,2,488,-2.83,-50.43,Sub-Saharan Africa ,1,0.531
Norway,2017,4,1,-11.15,27.5,Europe & Central Asia,4,0.954
Pakistan,2017,2,719,-25.27,11.89,South Asia,4,0.55
Panama,2017,4,0,13.46,-35.66,Latin America & Caribbean ,1,0.811
Papua New Guinea,2017,2,8,29.26,-15.73,East Asia & Pacific,1,0.549
Paraguay,2017,3,10,1.51,-9.03,Latin America & Caribbean ,2,0.726
Peru,2017,3,8,2.19,1.91,Latin America & Caribbean ,3,0.767
Philippines,2017,2,695,-18.01,0.749999999999989,East Asia & Pacific,3,0.708
Poland,2017,4,1,4.83,3.36,Europe & Central Asia,3,0.873
Qatar,2017,4,0,16.7,-70.6,Middle East & North Africa,1,0.848
Rwanda,2017,1,2,2.63,-8.31,Sub-Saharan Africa ,2,0.535
Saudi Arabia,2017,4,57,7.98,-49.24,Middle East & North Africa,1,0.852
Senegal,2017,1,0,-10.91,-3.08,Sub-Saharan Africa ,2,0.512
Serbia,2017,3,1,-22.75,-2.99,Europe & Central Asia,2,0.798
Slovak Republic,2017,4,0,-24.18,14.51,Europe & Central Asia,4,0.855
South Africa,2017,3,29,-4.1,-16.29,Sub-Saharan Africa ,1,0.705
Spain,2017,4,4,19.53,8.6,Europe & Central Asia,4,0.903
Sri Lanka,2017,2,41,-18.26,-1.33999999999999,South Asia,3,0.775
Sudan,2017,2,106,-12.53,23.97,Sub-Saharan Africa ,4,0.509
Sweden,2017,4,18,29.38,4.59,Europe & Central Asia,4,0.942
Switzerland,2017,4,0,59.38,-20.17,Europe & Central Asia,1,0.949
Syrian Arab Republic,2017,1,250,-40.91,28.61,Middle East & North Africa,4,0.564
Taiwan. China,2017,4,1,-24.8,-14.99,East Asia & Pacific,1,0.911
Tanzania,2017,1,6,4.36,-24.58,Sub-Saharan Africa ,1,0.523
Thailand,2017,3,179,-2.97,-4.68,East Asia & Pacific,2,0.765
Trinidad and Tobago,2017,4,0,-8.37,-5.01,Latin America & Caribbean ,2,0.795
Tunisia,2017,2,4,-66.31,-15.65,Middle East & North Africa,1,0.734
Turkey,2017,3,181,-20.99,-9.51,Europe & Central Asia,1,0.814
Uganda,2017,1,13,0.78,-19.56,Sub-Saharan Africa ,1,0.532
Ukraine,2017,2,62,-30.05,2.64,Europe & Central Asia,3,0.771
United Kingdom,2017,4,123,-1.15,0.51,Europe & Central Asia,3,0.926
United States,2017,4,66,2.05,3.01,North America,3,0.924
Uruguay,2017,4,0,-1.12,-12.49,Latin America & Caribbean ,1,0.814
Uzbekistan,2017,2,0,-10.55,-8.9,Europe & Central Asia,2,0.713
Venezuela. RB,2017,3,17,-142.05,-37.25,Latin America & Caribbean ,1,0.743
Vietnam,2017,2,2,-15.12,-8.6,East Asia & Pacific,2,0.696
West Bank and Gaza,2017,2,84,-11.79,-6.33,Middle East & North Africa,2,0.706
Yemen. Rep.,2017,1,530,-7.16,4.83,Middle East & North Africa,4,0.467
Zambia,2017,2,2,20.12,-44.8,Sub-Saharan Africa ,1,0.578
